content_id,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-8800029253812070000.00,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Ordering coffee in Italy: the 10 commandments,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
-8771338872124590000.00,The AI business landscape,"Hello, TensorFlow!",Why Google App Engine rocks: A Google engineer's take,Wide & Deep Learning: Better Together with TensorFlow,Making open source data more available
-8757701761088340000.00,Effective learning through code workshops | Box Blog,Scrum Community - Scrum Alliance,The Difference Between Sympathy And Empathy - Expanded Consciousness,The Business Case for Progressive Web Apps,The five phases of migrating to Google Cloud Platform
-8742648016180280000.00,"Little girls doubt that women can be brilliant, study shows",O que é liderança? Liderança é fazer a diversidade funcionar.,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,The brilliant mechanics of Pokémon Go,Google employees are adding 'Lady' to their job titles to fight sexism
-8717945432162710000.00,Introduction · Bitcoin para Programadores,How Coca-Cola Is Harvesting Innovation Energy From Startups,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Live asynchronously.,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com"
-8657415528200610000.00,Acesse a versão Material Design do YouTube | Google Discovery,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",How I sped up the initial render of my Polymer app by 86%,Squads não-suicidas - Hipsters #08,Progressive Web App - first introduced on Google I/O | airberlin
-8627051188605350000.00,Sam Newman - Backends For Frontends,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Seniority,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Firebase Test Lab for Android
-8618420761918490000.00,"Bots, Messenger and the future of customer service",Seria Stranger Things uma obra de arte do algoritmo da Netflix?,Designing smart notifications,"Google acquires Synergyse, an interactive training service for Google Apps",Progressive Web App - first introduced on Google I/O | airberlin
-8606063418076690000.00,Combining Spring Boot and JDBI,Introducing Kotlin support in Spring Framework 5.0,Standing on the Shoulders of Giants - Built to Adapt,Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
-8518096793350810000.00,Staying one step ahead at Pixar: An interview with Ed Catmull,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Joel on Software,A digital crack in banking's business model,Ordering coffee in Italy: the 10 commandments
-8512461968928610000.00,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,SOA com microserviços - Sensedia,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Google is quietly recording everything you say. Here's how to hear it,Who sponsors Drupal development? | Dries Buytaert
-8511291357261860000.00,Sam Newman - Backends For Frontends,Post: Just Say mNo to Hungarian Notation,Alecrim/AlecrimCoreData,The Importance of Code Reviews,Firebase Test Lab for Android
-8508606815368130000.00,The technology behind preview photos,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,1º Congresso Brasileiro de IoT - Embarcados,Evernote anuncia integração com Google Drive | Google Discovery
-8467102776052550000.00,The Importance of Code Reviews,On DRY and the cost of wrongful abstractions,My favorite people and resources to learn Android programming from,StrictMode for Runtime Analysis on Android - Google Developers,Angular 2 versus React: There Will Be Blood - Free Code Camp
-8404657131309960000.00,Par de alianças impede que seu parceiro assista Netflix sem você,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Inbox by Gmail ganha formatação de texto | Google Discovery,"No, Apple isn't the next BlackBerry - it's the next Microsoft",11 Internet of Things (IoT) Protocols You Need to Know About
-8381230866408690000.00,Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Nova pulseira tecnológica avisa se você já bebeu demais,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",1º Congresso Brasileiro de IoT - Embarcados
-8377626164558000000.00,Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,The AI business landscape,Algorithms and architecture for job recommendations,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
-8370744479086510000.00,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
-8369610219380460000.00,The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Machine Learning Is Redefining The Enterprise In 2016,Piloto de caça criado por inteligência artificial vence humano em combate simulado
-8340365043226490000.00,Why the customer experience matters,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Design Sprint: onde o design e a velocidade importam,Organizing for digital acceleration: Making a two-speed IT operating model work,A saga do jovem CEO da Dasa
-8314629309720420000.00,Most Interesting APIs in 2016: Cognitive Computing,"Docker - Build, Ship, and Run Any App, Anywhere",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa lança desafio para startups de tecnologia - Startupi
-8287402887944980000.00,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",19 Tips For Everyday Git Use,CSS Containment in Chrome 52 | Web Updates - Google Developers,An overview of web service solutions in Drupal 8,14 Cool Drupal 8 modules for site builders | August 2016
-8279505492976420000.00,What the Google I/O schedule tells us about the future of Android,"Google acquires Synergyse, an interactive training service for Google Apps",Building more accessible technology,Progressive Web App - first introduced on Google I/O | airberlin,Designing smart notifications
-8258529658421540000.00,Comparing React.js to Vue.js for dynamic tabular data,Modelando APIs REST com Swagger,System Code Geeks are giving away a FREE Sublime Text Editor License,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Labelling automated builds on Docker Hub - Microscaling Systems
-8243488279185270000.00,Visa lança desafio para startups de tecnologia - Startupi,Bradesco vai lançar novo banco digital: o Next.,Itaú é pioneiro do blockchain,Goodbye accountants! Startup builds AI to automate all your accounting,Nubank pode fechar as portas se BC confirmar mudança amanhã
-8208801367848620000.00,So you want to sell to banks?,Time to Re-Think Design Thinking,How to Get a Job at Google,Decentralizing IoT networks through blockchain,Introducing New Relic Infrastructure
-8204817396973640000.00,Branding é problema seu. E meu.,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Visa inaugura Co-Creation Center em São Paulo
-8190931845319540000.00,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",Why Google App Engine rocks: A Google engineer's take,The AI business landscape
-8189315446782320000.00,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,What to Expect at WWDC 2016,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
-8187220755213880000.00,Why Deep Learning Is Suddenly Changing Your Life,big data = real time,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Accenture amplia atuação no Brasil,Especial: O papel dos grandes provedores de TI na Rio 2016
-8159730897893670000.00,WeChat's competitor to Slack has arrived,WeChat's world,"How I built an app with 500,000 users in 5 days on a $100 server",Nintendo has doubled in value since Pokémon Go's release,Multi-Channel Marketing in 2015 - It's not rocket science.
-8142426490949340000.00,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Sete Reinos,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Usability Heuristics for Bots - Chatbots Magazine
-8085935119790090000.00,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations,Scala is the new golden child,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
-8043889175123940000.00,Top 5 Android Testing Frameworks with Examples,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Promoting gender equality through emoji �� ��,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,"Agile is Dead, Long Live Continuous Delivery - Gradle"
-8018192200278260000.00,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Não existe frete grátis!,Microservices testing
-7986975759046420000.00,Google's Cloud Machine Learning service is now in public beta,Using behavioral data to improve customer satisfaction,Scala is the new golden child,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,How Netflix does A/B Testing - uxdesign.cc - User Experience Design
-7891293130731320000.00,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Usando o git add interativo,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Aplicações da Inteligência artificial | Endeavor Brasil,On DRY and the cost of wrongful abstractions
-7862677531530630000.00,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Bots won't replace apps. Better apps will replace apps.,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Most Interesting APIs in 2016: Cognitive Computing
-7838000919054580000.00,Sete Reinos,A identidade visual de Budapeste para as Olimpíadas de 2024,Why Deep Learning Is Suddenly Changing Your Life,Duolingo's chatbots help you learn a new language,Branding é problema seu. E meu.
-7826213337362450000.00,How it feels to learn Javascript in 2016,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic
-7812176982819370000.00,Goodbye accountants! Startup builds AI to automate all your accounting,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Festival de Fotografia Hercule Florence - Timeline | Facebook,A identidade visual de Budapeste para as Olimpíadas de 2024,Starbucks tem mais dinheiro do cliente em cartões do que bancos
-7809508238092430000.00,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,What to Expect at WWDC 2016
-7722236679806600000.00,Tasting Dagger 2 on Android,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,StrictMode for Runtime Analysis on Android - Google Developers,Serverless Architectures,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket
-7681408188643140000.00,An overview of web service solutions in Drupal 8,Confused by blockchains? Revolution vs Evolution,Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,You won't recognize the new world of digital payments without this report,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games
-7660505434580830000.00,A importância dos filmes de mulherzinha - Capitolina,Mulheres são mais criativas que homens?,#iLookLikeAnEngineer: One Year Later,Promoting gender equality through emoji �� ��,Criadas para casar
-7646922141533710000.00,Arquitetura de Microserviços habilitando APIs - Sensedia,15 minutos sobre Docker,The Best Linux Distros of 2016,Hype Driven Development,Serverless real-time architecture on AWS: there is a way !
-7623502978685820000.00,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Top 15 Facebook Open Source Projects You Must Know
-7613994611628690000.00,Mobile banking conquista o coração dos brasileiros,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão
-7570652411388240000.00,The Drive to Bank on Digital,Bradesco lança serviço inédito para estimular o hábito de poupar,A identidade visual de Budapeste para as Olimpíadas de 2024,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,How This Former Google Engineer Is Bringing Blockchain to Banks
-7566966163569460000.00,Transfer Style But Not Color,Spark comparison: AWS vs. GCP,Google lags behind Amazon and Microsoft's cloud in one important area,Skill swarms - a new way to share expertise and work smarter together - Skillhive,Machine Learning Is Redefining The Enterprise In 2016
-7564569805639730000.00,"Incrível, Skype se lembrou que o Linux existe!",StrictMode for Runtime Analysis on Android - Google Developers,Android Mobile Vision restores operation and adds Text API | Android Developers Blog,"Fresco, sim! - Android Dev BR",Android Developers Summer Reading List
-7553931975579240000.00,big data = real time,One Dollar Board: Um projeto brasileiro para revolucionar a educação,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Top Programming Languages Trends: The Rise of Big Data,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs
-7539387928750590000.00,Gartner Reprint,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Shopping em BH terá fazenda urbana de 2.700 m²
-7518373517401480000.00,Post: Just Say mNo to Hungarian Notation,Firebase Test Lab for Android,Advanced Android Espresso,The Importance of Code Reviews,StrictMode for Runtime Analysis on Android - Google Developers
-7508055250504860000.00,Por que o Walmart não é Walmart no Brasil,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business
-7492067511846040000.00,Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Firebase Test Lab for Android,Sam Newman - Backends For Frontends,Post: Just Say mNo to Hungarian Notation
-7463305179076470000.00,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Making open source data more available,The return of the machinery question,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .
-7423191370472330000.00,Top 5 Android Testing Frameworks with Examples,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Dicas avançadas de ruby (capybara/cucumber),Beyond Progressive Web Apps Part 2: We Need to Know What's New,Sua comunidade de Teste.
-7399665664688730000.00,The AI business landscape,Here's proof that Google is getting serious about battling Facebook in a key area,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"Secret's founder returns with Bold, a Medium for enterprise",The Physical Web
-7387185690512760000.00,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Creating Your Code Review Checklist - DaedTech,My favorite people and resources to learn Android programming from,Advanced Android Espresso,The Importance of Code Reviews
-7342604649736470000.00,Why Is Learning Drupal Hard?,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online"
-7331393944609610000.00,The AI business landscape,Touch (TV Series 2012-2013),The return of the machinery question,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Text summarization with TensorFlow
-7294716554902070000.00,Sobre o Hipsters Ponto Tech,Listas com RecyclerView - Android Dev BR,Elasticsearch: CSV exporter for Kibana Discover,The Ten Commandments of Egoless Programming,Mobify report reveals impact of mobile website speed
-7264217791213420000.00,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Investimentos em coaching e mentoring aumentam nas empresas,4 Reasons Managers Should Spend More Time on Coaching,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-7217198366041990000.00,The Genderbread Person v3 | It's Pronounced Metrosexual,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Introducing Ask a Female Engineer,Workplace diversity in Brazil: there's still a long way to go
-7169261479876580000.00,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source
-7162567255723310000.00,O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Transforming life insurance with design thinking
-7126520323752760000.00,Wide & Deep Learning: Better Together with TensorFlow,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",5 reasons your employees aren't sharing their knowledge,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"Hello, TensorFlow!"
-7120369133608660000.00,Engineering Digital Banking Solutions Using UX Methodology,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Shopping app Spring's redesign could be a game-changer,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
-7113155163062750000.00,Using Microservices Architecture as API Enablement Strategy,Communication patterns in a Microservice world,15 minutos sobre Docker,How to build cross-platform mobile apps using nothing more than a JSON markup,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
-7047448754687270000.00,"Little girls doubt that women can be brilliant, study shows",JavaServer Faces 2.3 Quick Reference - DZone Java,Scrum Community - Scrum Alliance,Gartner Reprint,Chrome OS now has Material Design for the desktop
-6999287066519530000.00,Meet Aquifer: A build system for easier Drupal development,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Dries Buytaert,Cross-channel user experiences with Drupal,Dries Distributions remain a growing opportunity for Drupal - Buytaert
-6980020268309520000.00,An overview of web service solutions in Drupal 8,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The AI business landscape,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",The return of the machinery question
-6878119266243510000.00,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Making open source data more available,The barbell effect of machine learning.,Google researchers teach AIs to see the important parts of images - and tell you about them,"Google launches Springboard, an AI-powered assistant for its enterprise customers"
-6872546942144590000.00,Why Learning Angular 2 Was Excruciating,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft's Open Source Love Affair Reaches New Heights,Jenkins 2.0 is here!,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet
-6858665134018490000.00,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Here's proof that Google is getting serious about battling Facebook in a key area,Wide & Deep Learning: Better Together with TensorFlow,The AI business landscape,5 reasons your employees aren't sharing their knowledge
-6843047699859120000.00,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Docker 1.12: Now with Built-in Orchestration!,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery
-6840859460575230000.00,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Will blockchain drive the fourth Industrial Revolution?,Agronegócio mantém crescimento com tecnologia - inova.jor
-6820241302436960000.00,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Banking Needs a Customer Experience Wake-Up Call,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Starbucks tem mais dinheiro do cliente em cartões do que bancos,Mobile banking conquista o coração dos brasileiros
-6783772548752090000.00,Cinco competências comportamentais para você ser um bom líder,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,So you want to sell to banks?,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene
-6778286518036230000.00,A digital crack in banking's business model,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",The End Of Apps As We Know Them - Inside Intercom,Staying one step ahead at Pixar: An interview with Ed Catmull,Embracing Agile
-6772940823843050000.00,Android Developers Summer Reading List,"How to build a robot that ""sees"" with $100 and TensorFlow",Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,The Business Case for Progressive Web Apps,15 Interesting JavaScript and CSS Libraries for October 2016
-6728844082024520000.00,When to make a Git Commit,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",The Ten Commandments of Egoless Programming
-6727357771678890000.00,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,5 reasons your employees aren't sharing their knowledge,Why Google App Engine rocks: A Google engineer's take,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
-6726685468116050000.00,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Good developers take breaks * Greetings Programs,The Genderbread Person v3 | It's Pronounced Metrosexual,Introducing Ask a Female Engineer
-6707474286910390000.00,An overview of web service solutions in Drupal 8,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Acquia Engage Awards Finalists Announced,Dries Buytaert
